Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children,Name-Greek,Name-Greek
greek,damon,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,δαμων
greek,dexithea,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,δεξιθέα
greek,lycos,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,λύκος
greek,lysagora,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,λυσαγόρα
greek,makelo,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,μακελώ
greek,megalesius,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,μεγαλήσιος
greek,mylas,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,μύλας
greek,nikon,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,νίκων
greek,ormenos,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,ορμενος
greek,simon,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,σίμων
greek,skelmis,god,sea spirit native to the island of rhodes (telchines; τελχινες),,other,,sea,,,,,,,,,,σκελμις
greek,thaumas,god,god of the wonders of the sea,,male,,sea,,,,,,,,,,θαῦμας
greek,thoosa,god,goddess of swift currents,,female,,sea,,,,,,,,,,θόοσα
greek,triteia,god,daughter of triton and companion of ares,,other,,sea,,,,,,,,,,τριτεια
greek,triton,god,fish-tailed son and herald of poseidon,,other,,sea,,,,,,,,,,τρίτων
greek,tritones ,god,fish-tailed spirits in poseidons retinue,,other,,sea,,,,,,,,,,τρίτωνες
greek,aeolus,god,god of the winds,,male,,sky,,,,,,,,,,αίολος
greek,alectrona,god,solar goddess of the morning or waking up,,female,,sky,,,,,,,,,,αλεκτρονα
greek,aparctias,god,"another name for the north wind (anemoi, άνεμοι)",,other,,sky,,,,,,,,,,απαρκτίας
greek,apheliotes,god,"god of the east wind (anemoi, άνεμοι)",,male,,sky,,,,,,,,,,αφηλιώτης
greek,argestes,god,"another name for the west or northwest wind (anemoi, άνεμοι)",,other,,sky,,,,,,,,,,αργέστης
greek,boreas,god,"god of the north wind and of winter (anemoi, άνεμοι)",,male,,sky,,,,,,,,,,βορέας
greek,caicias,god,"god of the northeast wind (anemoi, άνεμοι)",,male,,sky,,,,,,,,,,καικίας
greek,circios,god,"god of the north-northwest wind (anemoi, άνεμοι)",,male,,sky,,,,,,,,,,κίρκιος
greek,euronotus,god,"god of the southeast wind (anemoi, άνεμοι)",,male,,sky,,,,,,,,,,ευρονότος
greek,eurus,god,"god of the unlucky east or southeast wind (anemoi, άνεμοι)",,male,,sky,,,,,,,,,,εύρος
greek,lips,god,"god of the southwest wind (anemoi, άνεμοι)",,male,,sky,,,,,,,,,,λίψ
greek,notus,god,"god of the south wind (anemoi, άνεμοι)",,male,,sky,,,,,,,,,,νότος
greek,skeiron,god,"god of the northwest wind (anemoi, άνεμοι)",,male,,sky,,,,,,,,,,σκείρων
greek,zephyrus,god,"god of the west wind (anemoi, άνεμοι)",,male,,sky,,,,,,,,,,ζέφυρος
greek,arke,god,messenger of the titans and twin sister of iris,,male,,sky,,,,,,,,,,άρκη
greek,astraios,god,"titan god of stars and planets, and the art of astrology",,male,,sky,,,,,,,,,,ἀστραῖος
greek,stilbon,god,"god of hermaon, the planet mercury",,male,,sky,,,,,,,,,,στιλβών
greek,eosphorus,god,god of venus the morning star,,male,,sky,,,,,,,,,,ηωσφόρος
greek,hesperus,god,god of venus the evening star,,male,,sky,,,,,,,,,,ἓσπερος
greek,pyroeis,god,"god of areios, the planet mars",,male,,sky,,,,,,,,,,πυρόεις
greek,phaethon,god,"god of dios, the planet jupiter",,male,,sky,,,,,,,,,,φαέθων
greek,phaenon,god,"god of kronion, the planet saturn",,male,,sky,,,,,,,,,,φαίνων
greek,aurai,god,"nymphs of the cooling breeze, goddess of the breeze and the fresh, cool air of early morning",,female,,nymph,,,,,,,,,,"αὖραι', 'αὖρα"
greek,aura,god,"goddess of the breeze and the fresh, cool air of early morning",,female,,sky,,,,,,,,,,αὖρα
greek,chione,god,goddess of snow and daughter of boreas,,female,,sky,,,,,,,,,,χιόνη
greek,ersa,god,goddess of the morning dew,,female,,sky,,,,,,,,,,ἕρση
greek,the hesperides,god,nymphs of the evening and sunset,,female,,nymph,,,,,,,,,,´εσπερίδες
greek,iris,god,goddess of the rainbow and divine messenger,,female,,sky,,,,,,,,,,ίρις
greek,men,god, lunar deity worshiped in the western interior parts of anatolia,,other,,sky,,,,,,,,,,μήν
greek,nephele,god,cloud nymph,,female,,nymph,,,,,,,,,,νεφέλη
greek,pandia,god,"personification of the moon, daughter of selene and zeus",,other,,sky,,,,,,,,,,πανδία
greek,alcyone,god,goddess of the star cluster pleiades and were associated with rain (pleiades; πλειάδες),,female,,sky,,,,,,,,,,αλκυόνη
greek,sterope,god,goddess of the star cluster pleiades and were associated with rain (pleiades; πλειάδες),,female,,sky,,,,,,,,,,στερόπη
greek,celaeno,god,goddess of the star cluster pleiades and were associated with rain (pleiades; πλειάδες),,female,,sky,,,,,,,,,,κελαινώ
greek,electra,god,goddess of the star cluster pleiades and were associated with rain (pleiades; πλειάδες),,female,,sky,,,,,,,,,,ηλέκτρα
greek,maia,god,goddess of the star cluster pleiades and were associated with rain (pleiades; πλειάδες),,female,,sky,,,,,,,,,,μαία
greek,merope,god,goddess of the star cluster pleiades and were associated with rain (pleiades; πλειάδες),,female,,sky,,,,,,,,,,μερώπη
greek,taygete,god,goddess of the star cluster pleiades and were associated with rain (pleiades; πλειάδες),,female,,sky,,,,,,,,,,ταϋγέτη
greek,sabazios,god,goddess of the star cluster pleiades and were associated with rain (pleiades; πλειάδες),,female,,sky,,,,,,,,,,σαβάζιος
greek,zeus,god,"king of heaven and god of the sky, clouds, thunder, and lightning",,male,,sky,,,,,,,,,,ζεύς
greek,aetna,god,goddess of the volcanic mount etna in sicily,,female,,rustic,,,,,,,,,,αἴτνη
greek,amphictyonis,god,"goddess of wine and friendship between nations, a local form of demeter",,female,,rustic,,,,,,,,,,αμφικτυονίς
greek,anthousai,god,flower nymphs,,female,,nymph,,,,,,,,,,ανθούσαι
greek,aristaeus,god,"god of bee-keeping, cheese-making, herding, olive-growing, and hunting",,male,,rustic,,,,,,,,,,ἀρισταῖος
greek,attis,god,vegetation god and consort of cybele,,male,,rustic,,,,,,,,,,άττις
greek,britomartis,god,"cretan goddess of hunting and nets used for fishing, fowling and the hunting of small game",,female,,rustic,,,,,,,,,,βριτόμαρτις
greek,aitnaios,god,god presiding over the mysteries of the islands of lemnos and samothrace (cabeiri; κάβειροι),,male,,rustic,,,,,,,,,,αιτναιος
greek,alkon,god,god presiding over the mysteries of the islands of lemnos and samothrace (cabeiri; κάβειροι),,male,,rustic,,,,,,,,,,αλκων
greek,eurymedon,god,god presiding over the mysteries of the islands of lemnos and samothrace (cabeiri; κάβειροι),,male,,rustic,,,,,,,,,,ευρυμεδών
greek,onnes,god,god presiding over the mysteries of the islands of lemnos and samothrace (cabeiri; κάβειροι),,male,,rustic,,,,,,,,,,όννης
greek,tonnes,god,god presiding over the mysteries of the islands of lemnos and samothrace (cabeiri; κάβειροι),,male,,rustic,,,,,,,,,,τόννης
greek,chloris,god,minor flower nymph and wife of zephyrus,,female,,nymph,,,,,,,,,,χλωρίς
greek,comus,god,"god of revelry, merrymaking, and festivity",,male,,rustic,,,,,,,,,,κόμος
greek,corymbus,god,god of the fruit of the ivy,,male,,rustic,,,,,,,,,,κόρυμβος
greek,cybele,god, phrygian mountain goddess,,female,,rustic,,,,,,,,,,κυβέλη
greek,acmon,god,spirit of fingers of the hand (dactyls; δάκτυλοι),,other,,rustic,,,,,,,,,,ακμών
greek,damnameneus,god,spirit of fingers of the hand (dactyls; δάκτυλοι),,other,,rustic,,,,,,,,,,δαμναμενεύς
greek,delas,god,spirit of fingers of the hand (dactyls; δάκτυλοι),,other,,rustic,,,,,,,,,,δήλας
greek,epimedes,god,spirit of fingers of the hand (dactyls; δάκτυλοι),,other,,rustic,,,,,,,,,,επιμήδης
greek,heracles,god,spirit of fingers of the hand (dactyls; δάκτυλοι),,other,,rustic,,,,,,,,,,ἡρακλῆς
greek,iasios,god,spirit of fingers of the hand (dactyls; δάκτυλοι),,other,,rustic,,,,,,,,,,ιάσιος
greek,kelmis,god,spirit of fingers of the hand (dactyls; δάκτυλοι),,other,,rustic,,,,,,,,,,κελμις
greek,skythes,god,spirit of fingers of the hand (dactyls; δάκτυλοι),,other,,rustic,,,,,,,,,,σκύθης
greek,titias,god,spirit of fingers of the hand (dactyls; δάκτυλοι),,other,,rustic,,,,,,,,,,τιτίας
greek,cyllenus,god,spirit of fingers of the hand (dactyls; δάκτυλοι),,other,,rustic,,,,,,,,,,κύλληνος
greek,dryades,god,tree and forest nymphs,,female,,nymph,,,,,,,,,,δρυάδες
greek,epimeliades,god,nymphs of highland pastures and protectors of sheep flocks,,female,,nymph,,,,,,,,,,επιμελίδες
greek,hamadryades,god,oak tree dryades,,other,,rustic,,,,,,,,,,αμαδρυάδες
greek,hecaterus,god,minor god of the hekateris — a rustic dance of quickly moving hands — and perhaps of the skill of hands in general,,male,,rustic,,,,,,,,,,ηεκατερος
greek,pyrrhichos,god,god of the rustic dance,,male,,rustic,,,,,,,,,,πυρῥιχος
greek,maenades,god,"crazed nymphs in the retinue of dionysus, nymph of drunkenness",,female,,nymph,,,,,,,,,,μαινάδες
greek,methe,god,nymph of drunkenness,,female,,nymph,,,,,,,,,,μέθη
greek,meliae,god,nymphs of honey and the ash tree,,female,,nymph,,,,,,,,,,μελίαι
greek,daphne,god,fresh water nymph (naiades; ναιάδες),,female,,nymph,,,,,,,,,,δάφνη
greek,metope,god,fresh water nymph (naiades; ναιάδες),,female,,nymph,,,,,,,,,,μετώπη
greek,minthe,god,fresh water nymph (naiades; ναιάδες),,female,,nymph,,,,,,,,,,μίνθη
greek,hekaerge,god,nymph representing the aspect of archery distancing (nymphai hyperboreioi; νύμφαι υπερβόρειοι),,female,,nymph,,,,,,,,,,εκαέργη
greek,loxo,god,nymph representing the aspect of archery trajectory (nymphai hyperboreioi; νύμφαι υπερβόρειοι),,female,,nymph,,,,,,,,,,λοξώ
greek,oupis,god,nymph representing the aspect of archery aim (nymphai hyperboreioi; νύμφαι υπερβόρειοι),,female,,nymph,,,,,,,,,,ουπις
greek,adrasteia,god,nymph  nursemaid of the infant zeus,,female,,nymph,,,,,,,,,,αδράστεια
greek,echo,god, nymph cursed never to speak except to repeat the words of others,,female,,nymph,,,,,,,,,,ηχώ
greek,the ourea,god,primeval gods of mountains,,male,,rustic,,,,,,,,,,ούρος
greek,the palici,god, pair of rustic gods who presided over the geysers and thermal springs in sicily,,male,,rustic,,,,,,,,,,παλικοί
greek,pan,god,"god of shepherds, pastures, and fertility",,male,,rustic,,,,,,,,,,πάν
greek,achelous,god,river god (potamoi; ποταμοί),,male,,rustic,,,,,,,,,,αχέλους
greek,acis,god,river god (potamoi; ποταμοί),,male,,rustic,,,,,,,,,,άκις
greek,alpheus,god,river god (potamoi; ποταμοί),,male,,rustic,,,,,,,,,,αλφειός
greek,asopus,god,river god (potamoi; ποταμοί),,male,,rustic,,,,,,,,,,ασωπός
greek,cladeus,god,river god (potamoi; ποταμοί),,male,,rustic,,,,,,,,,,κλάδεος
greek,eurotas,god,river god (potamoi; ποταμοί),,male,,rustic,,,,,,,,,,ευρώτας
greek,nilus,god,river god (potamoi; ποταμοί),,male,,rustic,,,,,,,,,,νείλος
greek,peneus,god,river god (potamoi; ποταμοί),,male,,rustic,,,,,,,,,,πηνειός
greek,scamander,god,river god (potamoi; ποταμοί),,male,,rustic,,,,,,,,,,σκάμανδρος
greek,priapus,god,god of garden fertility,,male,,rustic,,,,,,,,,,πρίαπος
greek,silenus,god, old rustic god of the dance of the wine-press,,male,,rustic,,,,,,,,,,σειληνός
greek,telete,god,goddess of initiation into the bacchic orgies,,female,,rustic,,,,,,,,,,τελέτη
greek,adonis,god, life-death-rebirth deity,,other,,agriculture,,,,,,,,,,άδωνις
greek,aphaea,god,minor goddess of agriculture and fertility,,female,,agriculture,,,,,,,,,,αφαία
greek,cyamites,god,demi-god of the bean,,male,,agriculture,,,,,,,,,,κυαμίτης
greek,despoina,god,"daughter of poseidon and demeter, goddess of mysteries in arcadia",,female,,agriculture,,,,,,,,,,δέσποινη
greek,eunostus,god,goddess of the flour mill,,female,,agriculture,,,,,,,,,,εύνοστος
greek,persephone,god,"queen of the underworld, wife of hades and goddess of spring growth",,female,,agriculture,,,,,,,,,,περσεφόνη
greek,philomelus,god,agricultural demi-god inventor of the wagon and the plough,,male,,agriculture,,,,,,,,,,φιλόμελος
greek,plutus,god,"god of wealth, including agricultural wealth, son of demeter",,male,,agriculture,,,,,,,,,,πλοῦτος
